airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-01,Delhi,Cochin,04:55:00,21:00:00,965,1,No info,6314
Jet Airways,2019-03-06,Banglore,Delhi,21:25:00,07:40:00,615,1,No info,16736
Air India,2019-04-15,Banglore,Delhi,17:00:00,19:45:00,165,0,No info,6121
Multiple Carriers,2019-06-12,Delhi,Cochin,13:00:00,01:30:00,750,1,No info,7198
Air India,2019-05-09,Delhi,Cochin,10:55:00,19:15:00,500,2,No info,11753
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1,In-flight meal not included,8066
Air Asia,2019-05-27,Delhi,Cochin,07:55:00,13:25:00,330,1,No info,6451
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,23:25:00,900,1,In-flight meal not included,10031
Air India,2019-06-27,Delhi,Cochin,09:45:00,09:25:00,1420,1,No info,7480
Spicejet,2019-06-01,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,No info,2753
Jet Airways,2019-03-12,Banglore,Delhi,21:25:00,07:40:00,615,1,No info,11717
Goair,2019-03-09,Banglore,Delhi,15:50:00,20:15:00,265,1,No info,7657
Indigo,2019-06-24,Delhi,Cochin,10:35:00,21:00:00,625,1,No info,5894
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,04:40:00,520,1,No info,13941
Air India,2019-06-06,Delhi,Cochin,07:00:00,19:15:00,735,1,No info,8669
Air India,2019-05-18,Kolkata,Banglore,09:25:00,13:45:00,1700,2,No info,13222
Spicejet,2019-05-21,Kolkata,Banglore,09:00:00,11:25:00,145,0,No info,4174
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,04:40:00,450,1,In-flight meal not included,9663
Multiple Carriers,2019-03-03,Delhi,Cochin,07:10:00,22:20:00,910,1,In-flight meal not included,11125
Indigo,2019-04-24,Delhi,Cochin,05:05:00,12:10:00,425,1,No info,6171
Indigo,2019-06-12,Banglore,Delhi,06:05:00,08:50:00,165,0,No info,3943
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,19:00:00,540,1,No info,16079
Indigo,2019-05-21,Mumbai,Hyderabad,20:05:00,21:40:00,95,0,No info,2227
Indigo,2019-04-09,Banglore,Delhi,18:55:00,21:50:00,175,0,No info,4823
Jet Airways,2019-06-12,Banglore,Delhi,07:10:00,10:10:00,180,0,No info,8016
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,09:20:00,865,1,No info,14388
Multiple Carriers,2019-06-24,Delhi,Cochin,11:30:00,01:30:00,840,1,No info,13377
Air India,2019-04-09,Delhi,Cochin,20:30:00,08:15:00,705,1,No info,5683
Jet Airways,2019-06-24,Delhi,Cochin,14:00:00,04:25:00,865,1,In-flight meal not included,10262
Indigo,2019-06-27,Kolkata,Banglore,22:15:00,00:50:00,155,0,No info,4804
Jet Airways,2019-03-18,Banglore,Delhi,11:40:00,20:20:00,520,1,In-flight meal not included,11087
Jet Airways,2019-03-27,Delhi,Cochin,17:35:00,19:45:00,1570,2,In-flight meal not included,8098
Jet Airways,2019-03-12,Banglore,Delhi,22:55:00,13:15:00,860,1,In-flight meal not included,11087
Multiple Carriers,2019-05-01,Delhi,Cochin,07:30:00,19:00:00,690,1,No info,9794
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,20:40:00,1410,1,In-flight meal not included,10031
Jet Airways,2019-03-27,Delhi,Cochin,15:05:00,04:25:00,800,1,No info,12242
Indigo,2019-03-21,Kolkata,Banglore,10:10:00,12:55:00,165,0,No info,5198
Jet Airways,2019-03-21,Banglore,Delhi,11:40:00,20:20:00,520,1,In-flight meal not included,7832
Indigo,2019-05-27,Delhi,Cochin,06:50:00,16:10:00,560,1,No info,6674
Air India,2019-06-24,Chennai,Kolkata,11:40:00,13:55:00,135,0,No info,4667
Jet Airways,2019-04-03,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,No info,8040
Multiple Carriers,2019-05-27,Delhi,Cochin,17:30:00,01:30:00,480,1,No info,13377
Jet Airways,2019-05-12,Kolkata,Banglore,10:20:00,17:35:00,435,1,No info,9358
Vistara,2019-06-12,Kolkata,Banglore,17:00:00,23:25:00,385,1,No info,8610
Jet Airways,2019-04-27,Banglore,Delhi,06:00:00,08:45:00,165,0,In-flight meal not included,4544
Spicejet,2019-03-01,Chennai,Kolkata,09:30:00,12:05:00,155,0,No info,7298
Indigo,2019-04-18,Delhi,Cochin,14:20:00,17:35:00,195,0,No info,6015
Spicejet,2019-05-15,Banglore,Delhi,21:10:00,00:05:00,175,0,No check-in baggage included,3573
Indigo,2019-06-27,Mumbai,Hyderabad,21:20:00,22:50:00,90,0,No info,2227
Multiple Carriers,2019-06-12,Delhi,Cochin,10:00:00,19:15:00,555,1,No info,14848
Spicejet,2019-05-03,Banglore,Delhi,21:10:00,00:05:00,175,0,No info,4991
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,04:40:00,450,1,In-flight meal not included,8586
Air India,2019-05-09,Delhi,Cochin,17:40:00,23:00:00,320,1,No info,7174
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,16:20:00,590,1,No info,13941
Spicejet,2019-05-12,Banglore,Delhi,05:55:00,08:35:00,160,0,No check-in baggage included,3257
Indigo,2019-06-01,Delhi,Cochin,18:35:00,01:30:00,415,1,No info,6628
Air India,2019-03-06,Mumbai,Hyderabad,17:20:00,14:50:00,150,2,No info,11972
Jet Airways,2019-04-06,Banglore,Delhi,07:10:00,10:10:00,180,0,In-flight meal not included,4544
Jet Airways,2019-03-09,Delhi,Cochin,05:40:00,04:25:00,1365,2,No info,14861
Vistara,2019-05-09,Banglore,Delhi,09:45:00,12:35:00,170,0,No info,4668
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,18:00:00,505,1,No info,14151
Spicejet,2019-03-21,Kolkata,Banglore,22:20:00,00:40:00,140,0,No check-in baggage included,3815
Indigo,2019-04-27,Banglore,Delhi,23:30:00,02:20:00,170,0,No info,3943
Jet Airways,2019-03-09,Delhi,Cochin,06:50:00,04:25:00,1295,1,No info,16289
Indigo,2019-05-03,Chennai,Kolkata,05:15:00,07:40:00,145,0,No info,3850
Jet Airways,2019-06-24,Delhi,Cochin,17:30:00,04:25:00,655,1,In-flight meal not included,10262
Indigo,2019-06-03,Delhi,Cochin,08:35:00,22:30:00,835,1,No info,6442
Air Asia,2019-05-12,Kolkata,Banglore,22:40:00,10:40:00,720,1,No info,5192
Jet Airways,2019-06-21,Banglore,Delhi,19:50:00,22:50:00,180,0,No info,8541
Indigo,2019-03-15,Banglore,Delhi,18:25:00,21:20:00,175,0,No info,8855
Jet Airways,2019-03-12,Banglore,Delhi,18:55:00,10:25:00,930,1,No info,13817
Indigo,2019-03-15,Mumbai,Hyderabad,02:30:00,04:00:00,90,0,No info,3342
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,16:20:00,1220,1,In-flight meal not included,10844
Indigo,2019-06-27,Delhi,Cochin,15:10:00,20:00:00,290,1,No info,6147
Air India,2019-06-09,Kolkata,Banglore,05:50:00,12:30:00,1840,2,No info,12723
Jet Airways,2019-05-18,Delhi,Cochin,19:45:00,19:00:00,1395,1,In-flight meal not included,12373
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,08:15:00,665,1,No info,14178
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,22:35:00,365,1,No info,14571
Jet Airways,2019-03-15,Banglore,Delhi,05:45:00,11:25:00,340,1,In-flight meal not included,9134
Indigo,2019-06-01,Delhi,Cochin,16:00:00,21:00:00,300,1,No info,6593
Air India,2019-03-18,Banglore,Delhi,00:30:00,08:45:00,495,1,No info,13859
Indigo,2019-05-15,Delhi,Cochin,06:50:00,22:30:00,940,1,No info,6442
Air India,2019-05-21,Delhi,Cochin,13:05:00,09:25:00,1220,2,No info,10467
Goair,2019-06-15,Delhi,Cochin,07:25:00,13:35:00,370,1,No info,5842
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,22:20:00,755,1,No info,10276
Air India,2019-06-06,Kolkata,Banglore,09:50:00,21:05:00,675,1,No info,7452
Air India,2019-06-18,Delhi,Cochin,05:10:00,08:00:00,170,0,No info,5201
Indigo,2019-04-06,Delhi,Cochin,04:55:00,13:20:00,505,1,No info,5307
Spicejet,2019-04-09,Banglore,Delhi,05:55:00,08:35:00,160,0,No info,3971
Jet Airways,2019-06-24,Delhi,Cochin,09:25:00,04:25:00,1140,2,No info,13882
Air India,2019-03-01,Banglore,Delhi,06:45:00,12:15:00,330,1,No info,23677
Jet Airways,2019-06-01,Delhi,Cochin,20:55:00,04:25:00,450,1,In-flight meal not included,10262
Jet Airways,2019-03-12,Banglore,Delhi,21:25:00,10:25:00,780,1,No info,13817
Jet Airways,2019-03-09,Banglore,Delhi,08:55:00,10:45:00,1550,1,In-flight meal not included,11087
Air India,2019-06-15,Delhi,Cochin,09:45:00,23:00:00,795,1,No info,8907
Vistara,2019-05-12,Kolkata,Banglore,17:00:00,10:45:00,1065,1,No info,9922
Indigo,2019-03-03,Delhi,Cochin,05:05:00,10:05:00,300,1,No info,9581
Indigo,2019-06-12,Delhi,Cochin,08:35:00,22:30:00,835,1,No info,6442
Indigo,2019-05-09,Delhi,Cochin,06:50:00,22:30:00,940,1,No info,6734
Indigo,2019-03-06,Chennai,Kolkata,13:20:00,15:35:00,135,0,No info,7295
Indigo,2019-05-15,Delhi,Cochin,16:00:00,21:00:00,300,1,No info,6069
Air India,2019-05-24,Mumbai,Hyderabad,15:00:00,16:25:00,85,0,No info,3100
Multiple Carriers,2019-03-03,Delhi,Cochin,04:00:00,18:50:00,890,1,No info,15237
Multiple Carriers,2019-05-15,Delhi,Cochin,17:30:00,01:30:00,480,1,No info,13727
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,09:15:00,725,1,In-flight meal not included,11134
Indigo,2019-04-18,Banglore,Delhi,16:55:00,19:55:00,180,0,No info,4990
Multiple Carriers,2019-03-03,Delhi,Cochin,18:00:00,01:35:00,455,1,No info,17703
Air India,2019-06-15,Delhi,Cochin,05:00:00,07:40:00,1600,2,No info,10231
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,19:10:00,1365,1,No info,13067
Indigo,2019-05-15,Kolkata,Banglore,20:20:00,22:55:00,155,0,No info,4804
Vistara,2019-04-24,Banglore,Delhi,07:00:00,09:40:00,160,0,No info,5403
Air India,2019-05-18,Delhi,Cochin,17:15:00,19:15:00,1560,2,No info,12409
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,19:50:00,1430,1,In-flight meal not included,7064
Vistara,2019-03-21,Delhi,Cochin,06:00:00,09:10:00,190,0,No info,6688
Jet Airways,2019-06-09,Delhi,Cochin,06:45:00,04:25:00,1300,2,No info,13376
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,09:20:00,800,1,No info,14571
Spicejet,2019-05-18,Kolkata,Banglore,11:35:00,18:50:00,435,1,No info,8479
Spicejet,2019-06-24,Kolkata,Banglore,17:10:00,19:40:00,150,0,No info,3873
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,09:20:00,800,1,In-flight meal not included,9663
Indigo,2019-04-15,Delhi,Cochin,05:05:00,12:10:00,425,1,No info,6287
Spicejet,2019-03-27,Mumbai,Hyderabad,05:45:00,07:05:00,80,0,No info,1759
Indigo,2019-04-03,Banglore,Delhi,08:30:00,11:20:00,170,0,No info,4823
Jet Airways,2019-05-27,Delhi,Cochin,15:00:00,12:35:00,1295,1,In-flight meal not included,12898
Spicejet,2019-05-06,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,No info,2017
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,23:35:00,1655,1,In-flight meal not included,10844
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,10:55:00,1075,1,No info,10953
Indigo,2019-03-01,Banglore,Delhi,07:10:00,10:05:00,175,0,No info,11934
Jet Airways,2019-04-15,Banglore,Delhi,17:45:00,20:45:00,180,0,In-flight meal not included,4544
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,18:15:00,590,1,In-flight meal not included,10844
Indigo,2019-06-03,Mumbai,Hyderabad,01:40:00,03:10:00,90,0,No info,2754
Jet Airways,2019-06-03,Delhi,Cochin,02:15:00,19:00:00,1005,1,No info,14714
Multiple Carriers,2019-04-09,Delhi,Cochin,06:00:00,13:20:00,440,1,No info,8323
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,18:15:00,705,1,In-flight meal not included,10844
Indigo,2019-03-09,Banglore,Delhi,21:20:00,00:15:00,175,0,No info,4777
Jet Airways,2019-05-27,Banglore,Delhi,18:55:00,22:00:00,185,0,No info,7229
Air India,2019-05-12,Kolkata,Banglore,12:00:00,21:50:00,590,2,No info,10676
Indigo,2019-05-24,Kolkata,Banglore,15:10:00,20:30:00,320,1,No info,6991
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,04:40:00,1215,1,No info,13731
Vistara,2019-05-24,Kolkata,Banglore,07:10:00,09:05:00,1555,1,No info,9502
Jet Airways,2019-06-06,Delhi,Cochin,11:30:00,04:25:00,1015,1,In-flight meal not included,10262
Air Asia,2019-05-18,Delhi,Cochin,16:45:00,07:10:00,865,1,No info,7353
Spicejet,2019-06-06,Delhi,Cochin,08:45:00,13:15:00,270,1,No check-in baggage included,5158
Jet Airways,2019-03-06,Banglore,Delhi,05:45:00,18:25:00,760,1,No info,16736
Jet Airways,2019-03-21,Banglore,Delhi,08:55:00,15:15:00,380,1,In-flight meal not included,7832
Indigo,2019-05-12,Kolkata,Banglore,09:35:00,12:20:00,165,0,No info,4804
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,16:20:00,475,1,In-flight meal not included,7851
Jet Airways,2019-06-24,Delhi,Cochin,10:00:00,04:25:00,1105,1,In-flight meal not included,10262
Air India,2019-06-27,Delhi,Cochin,09:45:00,23:00:00,795,1,No info,8907
Jet Airways,2019-03-18,Banglore,Delhi,07:00:00,13:15:00,375,1,No info,12284
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,04:25:00,745,1,In-flight meal not included,10262
Air Asia,2019-05-27,Delhi,Cochin,16:45:00,06:35:00,830,1,No info,6752
Indigo,2019-03-27,Chennai,Kolkata,07:55:00,10:15:00,140,0,No info,3384
Air India,2019-06-15,Delhi,Cochin,08:00:00,19:15:00,675,1,No info,9929
Indigo,2019-05-15,Banglore,Delhi,13:00:00,15:50:00,170,0,No info,3943
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,09:20:00,1610,1,In-flight meal not included,7064
Indigo,2019-06-03,Delhi,Cochin,23:30:00,04:35:00,305,1,No info,11378
Spicejet,2019-03-21,Kolkata,Banglore,06:55:00,09:35:00,160,0,No info,4148
Multiple Carriers,2019-03-06,Delhi,Cochin,13:05:00,21:20:00,495,2,No info,10759
Air Asia,2019-03-18,Kolkata,Banglore,22:50:00,01:20:00,150,0,No info,4082
Spicejet,2019-06-21,Chennai,Kolkata,08:20:00,10:35:00,135,0,No info,3597
Vistara,2019-04-24,Banglore,Delhi,17:00:00,19:35:00,155,0,No info,5613
Jet Airways,2019-05-18,Delhi,Cochin,15:00:00,12:35:00,1295,1,In-flight meal not included,12373
Air India,2019-05-09,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No info,3100
Air India,2019-04-24,Banglore,Delhi,10:00:00,12:45:00,165,0,No info,6121
Indigo,2019-06-09,Banglore,Delhi,10:10:00,13:00:00,170,0,No info,4423
Jet Airways,2019-03-24,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No info,5678
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,04:25:00,1995,2,In-flight meal not included,16022
Jet Airways,2019-04-06,Delhi,Cochin,13:00:00,19:00:00,360,1,In-flight meal not included,5177
Indigo,2019-05-27,Delhi,Cochin,17:30:00,01:30:00,480,1,No info,6206
Air Asia,2019-06-27,Banglore,Delhi,23:55:00,02:45:00,170,0,No info,3383
Air India,2019-03-09,Banglore,Delhi,13:20:00,16:10:00,170,0,No info,8851
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,22:35:00,1660,1,In-flight meal not included,7064
Air India,2019-03-21,Banglore,Delhi,22:00:00,13:20:00,920,1,No info,6955
Jet Airways,2019-05-06,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No info,8040
Air India,2019-06-15,Delhi,Cochin,06:05:00,09:25:00,1640,1,No info,7480
Indigo,2019-05-24,Chennai,Kolkata,11:35:00,14:00:00,145,0,No info,4332
Jet Airways,2019-06-03,Delhi,Cochin,02:15:00,12:35:00,620,1,No info,14714
Indigo,2019-05-18,Delhi,Cochin,14:25:00,17:40:00,195,0,No info,6015
Air India,2019-06-06,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,No info,3100
Jet Airways,2019-03-01,Banglore,Delhi,22:50:00,00:45:00,1555,1,No info,26890
Air Asia,2019-05-21,Delhi,Cochin,07:55:00,22:30:00,875,1,No info,6152
Air India,2019-03-09,Delhi,Cochin,22:00:00,19:15:00,1275,2,No info,14851
Spicejet,2019-04-01,Kolkata,Banglore,06:55:00,09:30:00,155,0,No info,3873
Indigo,2019-06-21,Delhi,Cochin,05:35:00,08:50:00,195,0,No info,5000
Jet Airways,2019-05-06,Delhi,Cochin,19:10:00,19:00:00,1430,2,No info,15129
Jet Airways,2019-06-09,Delhi,Cochin,09:35:00,04:25:00,1130,2,No info,13292
Jet Airways,2019-03-06,Banglore,Delhi,22:50:00,10:25:00,695,1,No info,17261
Jet Airways,2019-05-18,Delhi,Cochin,14:00:00,12:35:00,1355,1,In-flight meal not included,12373
Jet Airways,2019-06-03,Delhi,Cochin,14:00:00,04:25:00,865,1,In-flight meal not included,10262
Air India,2019-04-15,Banglore,Delhi,21:05:00,23:55:00,170,0,No info,5228
Air Asia,2019-04-18,Banglore,Delhi,11:10:00,13:55:00,165,0,No info,4483
Indigo,2019-04-06,Banglore,Delhi,08:30:00,11:20:00,170,0,No info,4823
Indigo,2019-06-15,Chennai,Kolkata,22:05:00,00:25:00,140,0,No info,5277
Indigo,2019-05-27,Delhi,Cochin,04:55:00,21:00:00,965,1,No info,8784
Jet Airways,2019-03-01,Banglore,Delhi,16:55:00,10:25:00,1050,1,1 Long layover,25735
Vistara,2019-06-09,Banglore,Delhi,19:30:00,22:15:00,165,0,No info,4878
Air India,2019-05-24,Kolkata,Banglore,16:50:00,07:55:00,905,1,No info,8576
Jet Airways,2019-05-06,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,In-flight meal not included,4995
Air Asia,2019-05-06,Banglore,Delhi,23:55:00,02:45:00,170,0,No info,3383
Multiple Carriers,2019-05-09,Delhi,Cochin,10:20:00,19:15:00,535,1,No info,8266
Indigo,2019-03-27,Chennai,Kolkata,05:15:00,07:35:00,140,0,No info,4326
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,08:15:00,1590,1,In-flight meal not included,8586
Air India,2019-05-12,Kolkata,Banglore,05:50:00,08:55:00,1625,2,No info,11411
Air India,2019-06-15,Banglore,Delhi,10:00:00,12:45:00,165,0,No info,6961
Air India,2019-06-01,Delhi,Cochin,05:10:00,08:00:00,170,0,No info,6094
Air India,2019-03-15,Banglore,Delhi,08:50:00,15:15:00,385,1,No info,8714
